name,sport,sport_category,sport_subtype,city,country,continent,date,start_time,distance,description,participants
Lavaredo Ultra Trail,Running,Trail Running,120K,Cortina d'Ampezzo,Italy,Europe,2025-06-27,23:00,120km,Night start through Dolomites UNESCO site,1600
Matterhorn Ultraks,Running,Trail Running,46K,Zermatt,Switzerland,Europe,2025-08-23,08:00,46km,Technical trail with stunning Matterhorn views,1200
South Africa Skyrun,Running,Trail Running,100K,Eastern Cape,South Africa,Africa,2025-11-07,05:00,100km,Self-navigated race through rugged mountain terrain,150
Big's Backyard Ultra,Running,Trail Running,Last Man Standing,Bell Buckle,USA,North America,2025-10-18,07:00,Varies,Last person standing format with 4.167-mile loops every hour,75
Barkley Marathons,Running,Trail Running,100 Miles,Frozen Head,USA,North America,2025-04-01,Unknown,161km,Infamously difficult race with navigation challenge,40
Dragon's Back Race,Running,Trail Running,315K,Wales,UK,Europe,2025-09-08,07:00,315km,6-day stage race along mountainous spine of Wales,250
Marathon des Sables,Running,Trail Running,250K,Sahara Desert,Morocco,Africa,2025-04-12,09:00,250km,6-day self-sufficient stage race in Sahara,1200
Atacama Crossing,Running,Trail Running,250K,San Pedro,Chile,South America,2025-03-02,08:00,250km,7-day stage race across driest desert on Earth,180
Grand Canyon Rim2Rim2Rim,Running,Trail Running,70K,Grand Canyon,USA,North America,2025-10-05,05:00,70km,Unofficial but iconic double crossing of Grand Canyon,Unlimited
Zion Ultra,Running,Trail Running,100K,Springdale,USA,North America,2025-04-19,06:00,100km,Red rock desert course through Zion National Park,500
Chinesische Mauer Ultra,Running,Trail Running,68K,Beijing,China,Asia,2025-09-27,07:00,68km,German-organized ultra along remote Great Wall sections,180
Guangzhou Mountain Challenge,Running,Trail Running,50K,Guangzhou,China,Asia,2025-03-15,07:30,50km,Technical trail in Baiyun Mountain area,420
Shenzhen Coastal Ultra,Running,Trail Running,85K,Shenzhen,China,Asia,2025-11-22,06:00,85km,Urban coastal trail connecting beaches and parks,380
Nanjing Forest Marathon,Running,Trail Running,Trail Marathon,Nanjing,China,Asia,2025-05-18,08:00,42.2km,Techincal trail race through Purple Mountain forests,550
Harbin Ice Trail,Running,Trail Running,30K,Harbin,China,Asia,2025-01-10,10:00,30km,Winter trail run on frozen river with ice sculptures,300
Wuhan Lake Circuit,Running,Trail Running,45K,Wuhan,China,Asia,2025-10-25,07:00,45km,Circuit of East Lake, one of largest urban lakes in China,480
Xi'an Ancient Wall,Running,Trail Running,21K,Xi'an,China,Asia,2025-04-08,08:30,21km,Historic run on and around ancient city walls,750
Chengdu Panda Trail,Running,Trail Running,18K,Chengdu,China,Asia,2025-06-20,08:00,18km,Family-friendly trail in panda research base area,1000
Kunming Plateau Run,Running,Trail Running,60K,Kunming,China,Asia,2025-07-12,06:30,60km,High-altitude trail around Dianchi Lake,320
Qinghai Lake Ultra,Running,Trail Running,100K,Xining,China,Asia,2025-08-05,06:00,100km,High-altitude race around China's largest lake,200
Tianjin Wetlands Trail,Running,Trail Running,25K,Tianjin,China,Asia,2025-09-13,08:00,25km,Flat but scenic trail through coastal wetlands,600
Urumqi Tianshan Trail,Running,Trail Running,80K,Urumqi,China,Asia,2025-06-28,07:00,80km,Mountain race in Tianshan range with glacier views,150
Lhasa Holy Mountain,Running,Trail Running,42K,Lhasa,China,Asia,2025-09-20,09:00,42.2km,High-altitude marathon around sacred Mount Kailash region,120
Xining Alpine Challenge,Running,Trail Running,70K,Xining,China,Asia,2025-07-25,06:00,70km,High plateau running with Tibetan cultural elements,180
