Category,English,Italiano,Indu,Japanese,Korean,Turkish,Dutch,Danish
Groups,Join,Unisciti,शामिल हों,参加,참가,Katıl,Deelnemen,Deltag
Groups,Leave Group,Lascia gruppo,समूह छोड़ें,グループを離脱,그룹 떠나기,Gruptan Ayrıl,Groep verlaten,Forlad gruppe
Groups,Delete Group,Elimina gruppo,समूह हटाएं,グループを削除,그룹 삭제,Grubu Sil,Groep verwijderen,Slet gruppe
Groups,Members,Membri,सदस्य,メンバー,멤버,Üyeler,Leden,Medlemmer
Groups,Chat,Chat,चैट,チャット,채팅,Sohbet,Chat,Chat
Groups,Gear Lists,Liste attrezzatura,गियर सूचियाँ,ギアリスト,기어 목록,Ekipman Listeleri,Uitrustingslijsten,Udstyrs lister
Profile,Edit,Modifica,संपादित करें,編集,편집,Düzenle,Bewerken,Rediger
Profile,Save,Salva,सहेजें,保存,저장,Kaydet,Opslaan,Gem
Profile,Full Name,Nome completo,पूरा नाम,フルネーム,전체 이름,Tam Ad,Volledige naam,Fulde navn
Profile,Bio,Bio,बायो,自己紹介,소개글,Biyografi,Bio,Bio
Profile,Followers,Follower,अनुयायी,フォロワー,팔로워,Takipçiler,Volgers,Følgere
Profile,Following,Seguiti,फॉलोइंग,フォロー中,팔로잉,Takip Edilenler,Volgend,Følger
Profile,Follow,Segui,फॉलो करें,フォロー,팔로우,Takip Et,Volgen,Følg
Profile,Total Races,Gare totali,कुल रेस,総レース,총 레이스,Toplam Yarış,Totaal races,Samlet løb
Profile,Delete Account,Elimina account,खाता हटाएं,アカウントを削除,계정 삭제,Hesabı Sil,Account verwijderen,Slet konto
Messages,Type a message...,Scrivi un messaggio...,संदेश टाइप करें...,メッセージを入力...,메시지를 입력하세요...,Bir mesaj yaz...,Typ een bericht...,Skriv en besked...
Messages,No messages yet,Nessun messaggio ancora,अभी कोई संदेश नहीं,まだメッセージはありません,아직 메시지가 없습니다,Henüz mesaj yok,Nog geen berichten,Ingen beskeder endnu
Messages,Mute,Silenzia,म्यूट करें,ミュート,음소거,Sessize Al,Dempen,Slå fra
Messages,Archive,Archivia,संग्रह करें,アーカイブ,보관,Arşivle,Archiveren,Arkivér
Messages,Pinned,Fissati,पिन किए गए,ピン留め,고정,Sabitlenmiş,Vastgezet,Fastgjort
Actions,Cancel,Annulla,रद्द करें,キャンセル,취소,İptal,Annuleren,Annuller
Actions,Done,Fatto,पूर्ण,完了,완료,Tamamlandı,Klaar,Færdig
Actions,Create,Crea,बनाएं,作成,생성,Oluştur,Aanmaken,Opret
Actions,Delete,Elimina,हटाएं,削除,삭제,Sil,Verwijderen,Slet
Actions,Share,Condividi,साझा करें,共有,공유,Paylaş,Delen,Del
Actions,Search,Cerca,खोजें,検索,검색,Ara,Zoeken,Søg
Settings,Dark,Scuro,डार्क,ダーク,다크,Karanlık,Donker,Mørk
Settings,Light,Chiaro,लाइट,ライト,라이트,Açık,Licht,Lys
Settings,Auto,Auto,स्वचालित,自動,자동,Otomatik,Auto,Auto
Settings,Language,Lingua,भाषा,言語,언어,Dil,Taal,Sprog
Settings,Privacy Policy,Informativa sulla privacy,गोपनीयता नीति,プライバシーポリシー,개인정보 보호정책,Gizlilik Politikası,Privacybeleid,Fortrolighedspolitik
Settings,Terms of Service,Termini di servizio,सेवा की शर्तें,利用規約,이용 약관,Hizmet Şartları,Gebruiksvoorwaarden,Brugervilkår
Time,January,Gennaio,जनवरी,1月,1월,Ocak,Januari,Januar
Time,February,Febbraio,फ़रवरी,2月,2월,Şubat,Februari,Februar
Time,March,Marzo,मार्च,3月,3월,Mart,Maart,Marts
Time,April,Aprile,अप्रैल,4月,4월,Nisan,April,April
Time,May,Maggio,मई,5月,5월,Mayıs,Mei,Maj
Time,June,Giugno,जून,6月,6월,Haziran,Juni,Juni
Time,July,Luglio,जुलाई,7月,7월,Temmuz,July,July
Time,August,Agosto,अगस्त,8月,8월,Ağustos,August,August
Time,September,Settembre,सितंबर,9月,9월,Eylül,September,September
Time,October,Ottobre,अक्टूबर,10月,10월,Ekim,Oktober,Oktober
Time,November,Novembre,नवंबर,11月,11월,Kasım,November,November
Time,December,Dicembre,दिसंबर,12月,12월,Aralık,December,December
Errors,Error,Errore,त्रुटि,エラー,오류,Hata,Fout,Fejl
Errors,Failed to upload photo,Caricamento foto fallito,फोटो अपलोड करने में विफल,写真のアップロードに失敗しました,사진 업로드 실패,Foto yüklenemedi,Foto uploaden mislukt,Foto upload mislykkedes
Errors,User not found,Utente non trovato,उपयोगकर्ता नहीं मिला,ユーザーが見つかりません,사용자를 찾을 수 없습니다,Kullanıcı bulunamadı,Gebruiker niet gevonden,Bruger ikke fundet
Errors,Permission Required,Autorizzazione richiesta,अनुमति आवश्यक,許可が必要です,권한 필요,İzin Gerekli,Toestemming vereist, Tilladelse påkrævet
